County_ID,County, Population ,PIB (euro/locuitor), Poverty ,Registered_1,Graduates,Abdandon_rate
1,Alba,371.285,12452,4.946,27.484,2.723,1
2,Arad,468.341,12293,4.838,33.062,3.094,1.9
3,Arges,627.025,"11,354",5.225,50.791,4.97,0.6
4,Bacau,734.946,8131,4.752,61.876,4.339,1
5,Bihor,614.994,10120,4.477,38.898,4.211,1
6,Bistrita-Nasaud,327.225,8879,4.259,27.334,2.291,0.4
7,Botosani,456.165,6333,4.383,43.971,3.235,0.4
8,Braila,336.461,9604,4.369,37.355,2.089,0.4
9,Brasov,639.832,14728,5.414,26.172,3.484,2.8
10,Buzau,456.263,9062,4.493,38.305,2.881,0
11,Calarasi,303.859,6708,4.591,24.276,1.407,3.1
12,Caras-Severin,312.339,9598,4.496,27.362,2.031,1.7
13,Cluj,740.025,17671,6.504,39.568,4.55,0.7
14,Constanta,761.135,13435,4.903,57.238,5.39,1.7
15,Covasna,224.992,9076,4.322,5.753,1.141,2.9
16,Dambovita,515.362,8943,4.631,44.959,3.247,0.2
17,Dolj,683.162,9808,5.07,54.586,4.993,2
18,Galati,631.278,8704,4.744,50.281,4.062,1.6
19,Giurgiu,266.424,7686,4.78,24.809,1.174,1.5
20,Gorj,352.201,12987,4.877,33.302,3.152,0.5
21,Harghita,328.979,9018,4.358,4.381,2.028,1.6
22,Hunedoara,448.559,10075,4.396,34.192,2.941,0.4
23,Ialomita,283.545,8368,4.55,24.49,1.747,1.1
24,Iasi,976.57,10228,5.778,76.886,5.758,0.9
25,Ilfov,466.197,13151,5.688,24.519,1.597,1.2
26,Maramures,518.383,9063,4.406,41.135,4.002,1.1
27,Mehedinti,274.879,8341,4.443,22.804,2.158,1.4
28,Municipiul Bucuresti, 2.163.447,32201,7.709,110.504,16.892,0.8
29,Mures,587.98,10209,5.066,31.135,3.566,2.3
30,Neamt,562.897,7813,4.383,45.312,3.858,2.5
31,Olt,426.114,7653,4.899,37.557,3.375,1.1
32,Prahova,780.172,11663,5.191,60.799,5.312,0.7
33,Salaj,242.41,9659,4.615,21.258,1.651,1.4
34,Satu Mare,384.891,9344,4.541,16.479,2.142,0.9
35,Sibiu,469.234,13267,5.576,30.957,2.559,1.8
36,Suceava,767.595,7472,4.429,68.466,5.703,0.7
37,Teleorman,360.516,7574,4.269,29.209,2.109,0.9
38,Timis,761.109,15762,6.241,47.516,4.983,1.1
39,Tulcea,231.622,10966,4.709,19.046,1.298,1
40,Valcea,392.157,10516,4.35,45.447,2.685,1.2
41,Vaslui,507.581,5740,4.424,31.998,2.856,1.1
42,Vrancea,380.453,8062,4.299,30.165,2.414,2
